
movieId	imdbId	tmdbId
3974	0192255	24100
3977	0160127	4327
3978	0146984	4958
3979	0185431	9678
3980	0203019	11978
3981	0199753	8870
3983	0203230	14295
3984	0066995	681
3985	0074452	11372
3986	0216216	8452
3987	0186894	10862
3988	0170016	8871
3989	0230591	34045
3990	0213203	16340
3991	0211181	10481
3992	0213847	10867
3993	0180073	10876
3994	0217869	9741
3996	0190332	146
3997	0190374	11849
3998	0228750	11983
3999	0190865	11678
4000	0086993	2669
4002	0093748	2609
4003	0096094	12714
4005	0093428	708
4006	0092106	1857
4007	0094291	10673
4008	0096969	2604
4009	0096219	10132
4010	0088850	11064
4011	0208092	107
4012	0095927	40820
4014	0241303	392
4015	0242423	8859
4016	0120917	11688
4017	0183659	12509
4018	0207201	3981
4019	0181536	711
4020	0219699	2046
4021	0247196	5001
4022	0162222	8358
4023	0218967	5994
4024	0200720	25520
4025	0212346	1493
4027	0190590	134
4029	0120202	21991
4030	0219653	10577
4031	0149624	21355
4032	0218182	29122
4033	0146309	11973
4034	0181865	1900
4035	0218378	44853
4036	0189998	10873
4037	0093223	26719
4039	0083564	15739
4040	0101757	15413
4041	0084434	2623
4042	0053580	11209
4043	0090670	13715
4046	0049233	43258
4047	0107007	10655
4051	0056600	
4052	0218817	9989
4053	0238948	18828
4054	0206275	9816
4055	0194218	20637
4056	0237572	5955
4061	0102388	17474
4062	0095690	11191
4063	0105165	2613
4064	0069897	22021
4065	0071517	22048
4066	0095348	17006
4067	0108451	26333
4068	0186589	16723
4069	0209475	2018
4074	0234805	10499
4077	0216800	47943
4078	0092545	74340
4079	0092546	5709
4080	0092605	11215
4081	0092608	26477
4082	0092618	10937
4083	0092641	4639
4084	0092644	96
4085	0086960	90
4086	0092654	11028
4089	0092690	19324
4090	0092695	19933
4091	0092718	12919
4092	0092746	15785
4093	0092783	31701
4102	0092948	17159
4103	0092965	10110
4104	0092974	18935
4105	0083907	764
4109	0093036	15658
4110	0093044	4918
4111	0093073	28368
4113	0093093	52780
4115	0093186	26156
4116	0093200	34101
4117	0093209	32054
4121	0093260	2614
4123	0093278	12704
4124	0093300	580
4125	0093405	24828
4126	0093407	13703
4127	0093418	36914
4128	0093437	1547
4129	0093467	42010
4130	0093476	2608
4131	0093477	32058
4132	0093493	10019
4133	0093507	11649
4135	0093560	13509
4138	0093589	51521
4139	0093638	34379
4141	0192111	24940
4142	0190524	37302
4143	0242998	10984
4144	0118694	843
4146	0120753	318
4147	0250478	12806
4148	0212985	9740
4149	0239948	10878
4152	0190861	7093
4153	0231775	16300
4154	0265632	19405
4155	0230838	1921
4156	0177650	44412
4157	0249893	21620
4158	0166276	23685
4159	0233142	12138
4160	0191636	48217
4161	0236493	6073
4164	0182000	25208
4166	0251031	19513
4167	0179626	2749
4168	0192071	10050
4171	0236447	95682
4174	0099073	2302
4175	0116447	32686
4178	0031742	51802
4180	0091836	29492
4181	0096223	25447
4184	0039190	19490
4187	0057251	38805
4189	0059245	2428
4190	0053793	22013
4191	0060086	15598
4193	0113026	62127
4194	0037800	56137
4195	0066740	17965
4197	0079781	33250
4198	0080421	14460
4200	0101764	9594
4202	0068617	4986
4203	0102005	2453
4204	0085868	33676
4205	0100140	4587
4207	0100232	12773
4210	0091474	11454
4211	0100486	38718
4212	0077413	4192
4214	0088000	14052
4215	0093857	16889
4217	0118540	26580
4218	0091860	21309
4219	0089208	16263
4220	0071771	4985
4221	0102517	20704
4223	0215750	853
4224	0242445	10877
4225	0205873	5257
4226	0209144	77
4228	0125022	10833
4229	0239949	20309
4231	0244970	12658
4232	0227538	10054
4233	0246989	10646
4234	0236784	2575
4235	0245712	55
4236	0206187	65075
4237	0247380	44379
4238	0164334	2043
4239	0221027	4133
4240	0189192	56715
4241	0266860	10991
4242	0221889	15940
4243	0268200	26791
4246	0243155	634
4247	0245686	10956
4248	0236348	19366
4251	0221073	9519
4252	0255094	13898
4254	0231402	9290
4255	0240515	13166
4256	0240402	32590
4259	0211492	52654
4260	0199129	70282
4262	0086250	111
4263	0055895	32488
4265	0132245	10477
4267	0203755	2144
4268	0141907	24113
4270	0209163	1734
4273	0240913	4973
4275	0085811	849
4276	0089504	27223
4278	0025913	39266
4280	0084917	11307
4282	0064940	11163
4284	0060429	18691
4285	0101912	3784
4289	0080539	11936
4290	0101902	25221
4291	0080319	19494
4292	0079638	40842
4293	0090098	19357
4294	0045464	33743
4296	0066011	9062
4297	0093713	11174
4298	0048021	934
4299	0183790	9476
4300	0212826	37691
4304	0256408	14268
4305	0225071	5852
4306	0126029	808
4307	0206742	49453
4308	0203009	824
4310	0213149	676
4312	0210727	26813
4313	0206917	29572
4316	0077716	50541
4317	0102343	26255
4321	0101587	1406
4322	0095082	13554
4323	0052902	17664
4325	0054130	41050
4326	0095647	1632
4327	0054047	966
4329	0053221	301
4333	0094142	11896
4334	0244316	25538
4337	0060934	5923
4338	0041996	15497
4339	0059885	21876
4340	0255798	11090
4342	0212815	21056
4343	0251075	9397
4344	0244244	9705
4345	0254099	26475
4347	0234288	29937
4349	0065528	10364
4350	0116344	32458
4351	0102685	1089
4353	0086508	9967
4354	0105699	17494
4355	0092272	17465
4356	0045810	759
4357	0045891	10297
4359	0048605	10653
4361	0084805	9576
4366	0230011	10865
4367	0146316	1995
4368	0240462	10808
4369	0232500	9799
4370	0212720	644
4371	0255819	16161
4372	0250224	10691
4373	0258038	10615
4374	0212517	47596
4378	0203119	11826
4380	0203632	9301
4381	0243493	11444
4383	0228786	60670
4384	0246765	55551
4386	0239395	10992
4387	0271027	2140
4388	0257106	4248
4389	0245238	17612
4390	0249380	3134
4392	0099012	8217
4393	0094663	22478
4394	0058953	26483
4395	0052216	24382
4396	0082136	11286
4397	0087032	11950
4399	0058249	36245
4402	0059124	26573
4403	0053925	23439
4404	0016847	10728
4406	0056217	11697
4407	0091886	6106
4408	0093940	22477
4409	0105378	19200
4410	0091983	11300
4412	0069372	28650
4419	0047811	43316
4420	0046754	34689
4422	0069467	10238
4424	0065777	4789
4426	0048261	18030
4427	0063227	18988
4428	0055184	11536
4429	0049513	10339
4432	0051036	976
4433	0049966	69605
4434	0059095	65632
4436	0074991	4780
4437	0076786	11906
4438	0068767	11713
4439	0082176	9589
4440	0067824	12481
4441	0077594	13333
4442	0089461	13938
4443	0082869	10540
4444	0068935	9462
4445	0163862	82623
4446	0173840	2114
4447	0250494	8835
4448	0227445	11371
4449	0262210	78248
4450	0242193	9517
4451	0273300	25985
4452	0227005	15745
4453	0245280	24977
4454	0188913	36107
4458	0109049	13794
4459	0130445	13795
